Game,Group,Team,Opponent,Home/Away,Score,WDL,Pens?,Goals For,Goals Against,Pen Shootout For,Pen Shootout Against,Attempts,On-Target,Off-Target,Blocked,Woodwork,Corners,Offsides,Ball possession %,Pass Accuracy %,Passes,Passes Completed,Distance Covered km,Balls recovered,Tackles,Blocks,Clearances,Yellow cards,Red Cards,Second Yellow Card leading to Red Card,Fouls Committed
39,D,ARG,NIG,away,1-2,W,nan,2,1,,,8,4,3,1,1,5,2,66,84,565,476,101,40,24,1,20,3,0,0,15
40,D,ISL,CRO,home,1-2,L,nan,1,2,,,17,6,8,3,1,10,1,41,73,324,238,103,38,9,3,16,3,0,0,10
40,D,CRO,ISL,away,1-2,W,nan,2,1,,,13,2,8,3,1,5,0,59,87,524,458,101,43,13,3,30,2,0,0,12
41,F,KOR,GER,home,2-0,W,nan,2,0,,,11,5,5,1,0,3,0,30,74,241,178,118,42,10,9,42,4,0,0,16
41,F,GER,KOR,away,2-0,L,nan,0,2,,,26,6,11,9,0,9,1,70,88,725,635,115,39,9,1,10,0,0,0,7
42,F,MEX,SWE,home,0-3,L,nan,0,3,,,19,3,8,8,0,7,2,65,82,491,405,95,33,9,1,12,3,0,0,14
42,F,SWE,MEX,away,0-3,W,nan,3,0,,,13,5,7,1,0,3,0,35,67,215,144,102,45,9,8,30,2,0,0,11
43,E,SRB,BRA,home,0-2,L,nan,0,2,,,10,1,5,4,0,5,2,44,78,458,359,114,56,11,4,14,3,0,0,13
43,E,BRA,SRB,away,0-2,W,nan,2,0,,,13,6,3,4,0,9,4,56,88,635,557,105,52,9,4,37,0,0,0,7
44,E,SUI,CRC,home,2-2,D,nan,2,2,,,12,3,5,4,1,6,1,60,87,588,514,103,30,6,2,13,3,0,0,9
44,E,CRC,SUI,away,2-2,D,nan,2,2,,,14,6,5,2,2,5,1,40,81,346,279,103,42,9,4,27,3,0,0,14
45,H,JPN,POL,home,0-1,L,nan,0,1,,,10,3,4,3,0,5,1,54,86,557,478,83,41,8,4,26,1,0,0,11
45,H,POL,JPN,away,0-1,W,nan,1,0,,,11,2,5,4,0,7,0,46,83,462,382,80,36,11,3,18,0,0,0,8
46,H,SEN,COL,home,0-1,L,nan,0,1,,,8,3,4,1,0,1,3,43,78,281,219,97,55,4,1,26,1,0,0,15
46,H,COL,SEN,away,0-1,W,nan,1,0,,,4,2,1,1,0,3,3,57,83,431,359,100,34,11,1,16,1,0,0,15
47,G,PAN,TUN,home,1-2,L,nan,1,2,,,9,4,4,1,0,0,4,36,77,284,220,102,36,9,4,33,3,0,0,18
47,G,TUN,PAN,away,1-2,W,nan,2,1,,,15,7,4,4,0,6,1,64,87,626,546,107,43,9,1,15,3,0,0,19
48,G,ENG,BEL,home,0-1,L,nan,0,1,,,13,1,7,5,0,7,3,48,88,484,424,109,32,13,7,10,0,0,0,11
48,G,BEL,ENG,away,0-1,W,nan,1,0,,,15,4,4,7,0,2,1,52,88,556,490,106,32,12,5,24,2,0,0,14
49,Round of 16,FRA,ARG,home,4-3,W,nan,4,3,,,9,4,4,1,1,0,0,41,84,351,295,97,35,12,4,20,3,0,0,21
49,Round of 16,ARG,FRA,away,4-3,L,nan,3,4,,,9,4,1,4,0,4,1,59,86,547,471,96,28,22,1,10,5,0,0,15
50,Round of 16,URU,POR,home,2-1,W,nan,2,1,,,6,3,2,1,0,2,0,39,70,266,185,106,40,19,8,34,0,0,0,13
50,Round of 16,POR,URU,away,2-1,L,nan,1,2,,,20,5,7,8,0,10,1,61,84,584,489,107,41,10,1,17,1,0,0,13
51,Round of 16,ESP,RUS,home,1-1,L,y,1,1,3.0,4.0,25,9,6,10,0,6,1,75,91,1137,1031,137,42,7,2,9,1,0,0,5
51,Round of 16,RUS,ESP,away,1-1,W,y,1,1,4.0,3.0,6,1,3,2,0,5,1,25,72,284,204,146,43,16,10,47,2,0,0,19
52,Round of 16,CRO,DEN,home,1-1,W,y,1,1,3.0,2.0,22,7,8,7,0,5,2,54,81,625,506,132,54,9,2,36,0,0,0,5
52,Round of 16,DEN,CRO,away,1-1,L,y,1,1,2.0,3.0,15,3,10,2,1,4,0,46,79,538,425,135,47,15,7,29,1,0,0,19
53,Round of 16,BRA,MEX,home,2-0,W,nan,2,0,,,21,10,7,4,0,8,0,47,83,398,330,92,38,10,8,20,2,0,0,6
53,Round of 16,MEX,BRA,away,2-0,L,nan,0,2,,,13,1,4,8,0,7,2,53,85,424,362,89,34,12,4,23,4,0,0,18
54,Round of 16,BEL,JPN,home,3-2,W,nan,3,2,,,24,8,10,6,1,10,1,56,87,621,540,108,28,2,3,12,0,0,0,13
54,Round of 16,JPN,BEL,away,3-2,L,nan,2,3,,,11,4,4,3,0,6,1,44,83,453,374,109,40,8,6,39,1,0,0,9
55,Round of 16,SWE,SUI,home,1-0,W,nan,1,0,,,12,3,6,3,0,3,1,37,73,270,198,105,46,3,9,33,1,0,0,11
55,Round of 16,SUI,SWE,away,1-0,L,nan,0,1,,,18,4,5,9,0,11,0,63,83,599,500,103,26,2,3,15,2,1,0,13
56,Round of 16,COL,ENG,home,1-1,L,y,1,1,3.0,4.0,14,4,7,3,0,2,1,49,78,516,405,136,59,17,5,39,6,0,0,23
56,Round of 16,ENG,COL,away,1-1,W,y,1,1,4.0,3.0,16,2,9,5,0,7,2,51,82,571,471,143,59,6,3,27,2,0,0,13
57,Quarter-finals,URU,FRA,home,0-2,L,nan,0,2,,,11,4,6,1,0,4,0,42,67,322,215,103,45,14,2,21,2,0,0,17
57,Quarter-finals,FRA,URU,away,0-2,W,nan,2,0,,,11,2,7,2,0,3,0,58,81,524,427,99,48,7,1,51,2,0,0,15
58,Quarter-finals,BRA,BEL,home,1-2,L,nan,1,2,,,26,9,7,10,1,8,1,57,89,557,493,104,41,6,2,7,2,0,0,14
58,Quarter-finals,BEL,BRA,away,1-2,W,nan,2,1,,,8,3,3,2,0,4,0,43,83,370,307,105,35,7,10,41,2,0,0,16
59,Quarter-finals,SWE,ENG,home,0-2,L,nan,0,2,,,7,3,3,1,0,1,2,43,74,379,280,107,36,5,6,37,2,0,0,10
59,Quarter-finals,ENG,SWE,away,0-2,W,nan,2,0,,,12,2,4,6,0,6,1,57,80,525,420,110,47,3,1,22,1,0,0,7
60,Quarter-finals,RUS,CRO,home,2-2,L,y,2,2,3.0,4.0,13,7,4,2,0,6,1,38,69,399,276,148,63,19,4,43,1,0,0,25
60,Quarter-finals,CRO,RUS,away,2-2,W,y,2,2,4.0,3.0,17,3,10,4,1,8,0,62,82,753,615,139,58,10,2,27,4,0,0,18
61,Semi-finals,FRA,BEL,home,1-0,W,nan,1,0,,,19,5,8,6,0,4,1,40,86,342,294,102,44,16,1,30,2,0,0,6
61,Semi-finals,BEL,FRA,away,1-0,L,nan,0,1,,,9,3,5,1,0,5,1,60,90,629,565,102,34,16,6,14,3,0,0,16
62,Semi-finals,CRO,ENG,home,2-1,W,nan,2,1,,,22,7,11,4,1,8,1,54,79,622,494,143,51,18,4,32,2,0,0,23
62,Semi-finals,ENG,CRO,away,2-1,L,nan,1,2,,,11,1,6,4,0,4,3,46,79,479,377,148,49,4,4,52,1,0,0,14
63,Play-off for third place,BEL,ENG,home,2-0,W,nan,2,0,,,12,4,3,5,0,4,1,43,88,510,450,108,34,4,3,27,1,0,0,11
63,Play-off for third place,ENG,BEL,away,2-0,L,nan,0,2,,,15,5,7,3,0,5,0,57,92,698,641,110,31,7,5,18,2,0,0,5
64,Final,FRA,CRO,home,4-2,W,nan,4,2,,,8,6,1,1,0,2,1,39,75,271,202,99,45,12,4,35,2,0,0,14
64,Final,CRO,FRA,away,4-2,L,nan,2,4,,,15,3,8,4,0,6,1,61,83,547,456,100,45,13,1,13,1,0,0,13
