title,ratingDescription average,release year average,user rating score average,user rating size average
DreamWorks Shrek's Swamp Stories,70.0,2008.0,56.0,80.0
DreamWorks Spooky Stories: Volume 2,70.0,2011.0,,82.0
Drop Dead Diva,70.0,2014.0,,82.0
"Drugs, Inc.",90.0,2015.0,,82.0
Easy,110.0,2016.0,,82.0
Edgar Rice Burroughs' Tarzan and Jane,42.0,2017.0,,82.0
Ernest & Celestine,60.0,2012.0,,82.0
Family Guy,110.0,2015.0,98.0,80.0
Fantasia,35.0,1940.0,61.0,80.0
Fantasia 2000,35.0,2000.0,,82.0
Fearless,90.0,2016.0,,82.0
Felipe Neto: My Life Makes No Sense,110.0,2017.0,,82.0
FernGully 2: The Magical Rescue,35.0,1998.0,,82.0
FernGully: The Last Rainforest,35.0,1992.0,70.0,80.0
Finding Dory,60.0,2016.0,98.0,80.0
Flaked,110.0,2016.0,,82.0
Flicka 2,60.0,2010.0,,82.0
Flubber,60.0,1997.0,83.0,80.0
Forensic Files,90.0,2011.0,88.0,80.0
Friday Night Lights,70.0,2010.0,81.0,80.0
Fried,110.0,2015.0,,82.0
Friends,90.0,2003.0,98.0,80.0
Friends with Benefits,90.0,2011.0,,82.0
Fuller House,35.0,2016.0,90.0,80.0
Gabriel lglesias: IÛªm Sorry For What I Said When I Was Hungry,90.0,2016.0,84.0,80.0
Gilmore Girls,90.0,2006.0,91.0,80.0
Gilmore Girls: A Year in the Life,90.0,2016.0,77.0,80.0
Girlboss,110.0,2017.0,94.0,80.0
Girlfriends' Guide to Divorce,90.0,2015.0,63.0,80.0
Glee,70.0,2015.0,92.0,80.0
Goldie & Bear,10.0,2016.0,77.0,80.0
Gon,35.0,2013.0,,82.0
Goosebumps,47.333333333333336,2003.6666666666667,88.66666666666667,80.0
Gossip Girl,90.0,2012.0,96.0,80.0
Gotham,90.0,2016.0,85.0,80.0
Grace and Frankie,110.0,2017.0,90.0,80.0
Grease,60.0,1978.0,86.0,80.0
Greenleaf,90.0,2016.0,62.0,80.0
Grey's Anatomy,90.0,2016.0,98.0,80.0
Growing Up Wild,35.0,2016.0,80.0,80.0
H2O: Just Add Water,70.0,2009.0,74.0,80.0
Halt and Catch Fire,90.0,2016.0,,82.0
Hannah Montana: The Movie,35.0,2009.0,56.0,80.0
Hap and Leonard,110.0,2016.0,57.0,80.0
Happily Married,90.0,2015.0,,82.0
Harry and the Hendersons,60.0,1987.0,58.0,80.0
Hart of Dixie,70.0,2014.0,81.0,80.0
Hatched,41.0,2013.0,,82.0
Haters Back Off,90.0,2016.0,58.0,80.0
Hawaii Five-0,90.0,2016.0,96.0,80.0
Heartland,70.0,2015.0,85.0,80.0
Heavyweights,60.0,1995.0,74.0,80.0
High School Musical,35.0,2006.0,64.0,80.0
High School Musical 2,35.0,2007.0,58.0,80.0
Home,60.0,2015.0,94.0,80.0
Home: Adventures with Tip & Oh,41.0,2017.0,,82.0
Homeward Bound: The Incredible Journey,35.0,1993.0,96.0,80.0
"Honey, I Shrunk the Kids",60.0,1989.0,80.0,80.0
Honeytrap,124.0,2014.0,,82.0
Hot Girls Wanted: Turned On,110.0,2017.0,,82.0
Hotel Transylvania 2,60.0,2015.0,93.0,80.0
House of Cards,110.0,2016.0,91.0,80.0
How I Met Your Mother,70.0,2014.0,94.0,80.0
How to Get Away with Murder,90.0,2016.0,95.0,80.0
How to Lose a Guy in 10 Days,80.0,2003.0,56.0,80.0
Hunter X Hunter (2011),124.0,2013.0,57.0,80.0
Hurricane Bianca,110.0,2016.0,,82.0
Hyena Road,100.0,2015.0,,82.0
I.T,124.0,2016.0,,82.0
Ingobernable,110.0,2017.0,96.0,80.0
Inside Russia's Toughest Prison,90.0,2011.0,,82.0
Inspector Gadget 2,35.0,2003.0,,82.0
Iron Man & Captain America: Heroes United,60.0,2014.0,,82.0
It's Always Sunny in Philadelphia,110.0,2016.0,91.0,80.0
Jack and the Cuckoo-Clock Heart,60.0,2013.0,,82.0
Jane The Virgin,90.0,2016.0,91.0,80.0
Jessie,35.0,2015.0,88.0,80.0
Jetsons: The Movie,35.0,1990.0,,82.0
Justice League,42.0,2003.0,66.0,80.0
Justice League Unlimited,42.0,2005.0,,82.0
Kevin Hart: What Now?,100.0,2016.0,97.0,80.0
Kong: King of the Apes,42.0,2016.0,,82.0
Kronk's New Groove,35.0,2005.0,,82.0
Kubo and the Two Strings,60.0,2016.0,96.0,80.0
Kulipari: An Army of Frogs,42.0,2016.0,,82.0
Kung Fu Panda,60.0,2008.0,91.0,80.0
Kung Fu Panda 3,60.0,2016.0,92.0,80.0
Kurt Seyit & Sura,90.0,2014.0,,82.0
LEGO Bionicle: The Journey to One,42.0,2016.0,,82.0
LEGO Jurassic World: The Indominus Escape,41.0,2016.0,,82.0
LEGO Ninjago: Masters of Spinjitzu,42.0,2015.0,67.0,80.0
LEGO Ninjago: Masters of Spinjitzu: Way of the Ninja,42.0,2011.0,,82.0
LEGO: Marvel Super Heroes: Maximum Overload,42.0,2013.0,,82.0
Lab Rats,41.0,2016.0,85.0,80.0
Larva,35.0,2015.0,,82.0
Last Man Standing,70.0,2015.0,97.0,80.0
Law & Order: Special Victims Unit,90.0,2015.0,97.0,80.0
Lazy Eye,110.0,2016.0,,82.0
LeapFrog: The Amazing Alphabet Amusement Park,10.0,2010.0,,82.0
Lego DC Comics: Batman Be-Leaguered,41.0,2014.0,,82.0
Leverage,70.0,2012.0,86.0,80.0
Lie to Me,90.0,2010.0,89.0,80.0
Life Unexpected,70.0,2010.0,55.0,80.0
Life in Pieces,90.0,2015.0,68.0,80.0
Like Cotton Twines,124.0,2016.0,,82.0
Lilo & Stitch,60.0,2002.0,95.0,80.0
Lilo & Stitch 2: Stitch Has A Glitch,60.0,2005.0,85.0,80.0
Limitless,90.0,2016.0,84.0,80.0
Little Baby Bum: Nursery Rhyme Friends,10.0,2016.0,,82.0
Little Boxes,90.0,2016.0,61.0,80.0
Little Einsteins,10.0,2007.0,70.0,80.0
London Has Fallen,100.0,2016.0,96.0,80.0
Longmire,90.0,2016.0,92.0,80.0
Lost,90.0,2010.0,98.0,80.0
Lottie Dottie Chicken,10.0,2009.0,,82.0
Louis C.K. 2017,110.0,2017.0,71.0,80.0
Love,110.0,2017.0,,82.0
Lovesick,110.0,2016.0,,82.0
Lucky Number Slevin,100.0,2006.0,,82.0
Luther,90.0,2015.0,69.0,80.0
Mad Men,90.0,2014.0,75.0,80.0
